a01,287
a02,455
a03,133
a04,0
a05,7
a06,70
a07,0
a08,42
a09,0
a10,0
a11,14
a12,70
a13,167
a14,41
a15,133
a16,182
a17,42
a19,420
a20,203
a20a,567
a20b,518
a21,140
a21a,196
a22,2688
a22a,5004
a22b,2414
a22c,1295
a23,1889
a23a,11114
a23b,2912
a24,1987
a24a,49
a24b,49
a24c,49
a24d,49
a25,1252
a26,196
a27,6226
a27a,0
a28,1162
a29,953
a30,56
a31,512
a32,101
a32a,197
a32b,0
a33,28
a34,28
a34a,1853
a35,1591
a35a,777
a35b,777
a35c,707
a36,164
a37,91
a38,0
a38a,2107
a38b,2228
a38c,1904
a38d,1652
a38e,126
a38f,53
a38g,1
a39,798
a40,825
a40a,194
a41,701
a42,1621
a43a,1804
a43b,1377
a43c,1516
a43d,3932
a43e,1693
a43f,2784
a43g,2362
a43h,105
a43i,749
a43j,1205
a43k,496
a44,294
a45,202
a46,750
a47,693
a48,732
a49,25
a50,110
a51,0
a52,1179
a53,21
a53a,1174
a53b,616
a54,314
a54a,196
a54b,7
a55,540
a56,3097
a57,2775
a57a,1312
a57b,1057
a58,133
a59,965
a60,566
a61,2955
a62,937
a62a,139
a63,3302
a64,2934
a65,67
a66,459
a67,161
a68,88
a68a,1327
a68b,1096
a68c,232
a68d,41
a68e,67
a68f,6
a68g,44
a68h,43
a68i,28
a68j,42
a68k,21
a68l,15
a68m,40
a68n,14
a68o,7
a68p,14
a69,38
a69a,654
a69b,653
a69c,178
a70,472
a71,160
a72,36
a73,43
a74,421
a75,87
a76,9
a76a,333
a76b,333
a76c,333
a77,248
a78,241
a79,52
b01,2749
b02,1084
b03,224
b04,601
b05,1630
b05a,238
b06,2672
b07,636
b07a,595
b07b,697
b08,1161
b09,657
b09a,5161
b09b,11935
b09c,1659
b09d,2544
b09e,7
b09f,2842
b09g,3638
b09h,935
b09i,2375
b09j,25
b10,1341
b10a,1658
b10b,785
b11,307
b12,270
b13,297
b14,1525
b14a,63
b14b,168
b15,5643
b15a,3246
b15aa,2016
b15ab,2786
b15ac,43
b15b,4992
b15c,699
b15d,3024
b15e,279
b15f,4512
b15g,4245
b15h,880
b15i,3260
b15j,3005
b15j1,25
b15k,4727
b15l,1609
b15m,931
b15n,2211
b15p,504
b15q,1036
b15r,3603
b15s,1028
b15t,4116
b15u,21
b15v,154
b15w,35
b15x,1750
b15y,1308
b15z,1368
b16,7288
b17,255
b17a,5296
b17b,3235
b18,279
b19,1009
b20,0
b21,77
b21a,3963
b21b,642
b22a,7334
b22b,1000
b22c,651
b22d,42
b22e,238
b23,739
b24,769
b25,84
b26,28
b27,2217
b28,4471
b29,4471
b30,2582
b30a,104
b30b,21
b31,1889
b31a,121
b32,319
b33,87
b34,763
b35,867
b36,35
b37,2259
b38,2304
b39,2304
b40,2285
b41,1565
b42,1843
b43,1245
b44,24
b45,1360
b46,1274
b47,947
b48,123
b49,218
b50,741
c01,1189
c02,4211
c03,35
c04,0
c05,3512
c06,2346
c07,1672
c08,5064
c09,3165
c10,5219
c11,1603
c12,1603
c13,42
c14,1071
c14a,4488
c14b,1330
c15,8095
c16,5009
c17,723
c18,650
c18a,2112
c18b,6761
c19,438
c19a,2150
c19b,1486
c19c,3581
c19c1,187
c19d,2318
c19e,241
c20,1092
c21,740
c21a,1231
c21b,6248
c21c,455
c22,245
c23,196
c24,6248
c25,316
c26,385
c27,49
c28,42
c28a,1588
c28a2,1363
c28b,3048
c29,2304
c30,2304
c31,2304
c32,2304
c33,2207
c34,1332
c35,1360
c36,1178
c38,9
c38a,31
c38b,31
d01,335
d02,658
d03,511
d04,77
d05,0
d06,0
d07,0
d08,0
d09,0
d10,42
d11,1867
d12,1497
d13,122
d14,719
d15,2313
d15a,2274
d15b,2273
d20,116
d20a,3888
d20b,991
d21,147
d21a,1581
d21b,2521
d22,2257
d23,104232
d24,73
d25,163
d26,104138
d27,1516
d28,944
d29a,318
d29b,318
d29c,318
d30a,316
d30b,316
d31,85
e01,293
e02,317
e03,131
e04,314
e05,673
e06,138
e07,247
e08,188
e09,188
e10,64
e11,191
e12,98
e13,113
e14,493
e15,236
e16,430
e17,430
e18,149
e19,152
e20,517
e21,35
